area,dlg_file,character,line_type,conv_position,strref,voice_file,voice_actor,text
Mortuary - 1st Floor,DSOEGO,Soego,narration,51,4957,4957.wav,sevrL_bats,"Soego frowns as you lean in, and you notice he sniffs the air, as if testing it. His eyes suddenly narrow, and he looks like he is about to call for the guards."
Mortuary - 1st Floor,DSOEGO,Soego,narration,52,4960,4960.wav,sevrL_bats,"As you lunge for him, Soego leaps back, his eyes gleaming red and his teeth bared. With a hiss, he claps his hands together sharply three times. In response, a great iron bell starts tolling throughout the Mortuary."
Mortuary - 1st Floor,DSOEGO,Soego,spoken,53,4962,4962.wav,sevrL_bats,"""Who was being interred? Perhaps the services are taking place somewhere else in the Mortuary."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,54,4966,4966.wav,sevrL_bats,"""Well..."" Soego squints. He seems confused. ""Obviously a mistake has been made. Either you were brought here by blood relatives, other Dustmen, or..."" Soego suddenly hisses, as if an unpleasant thought had just occurred to him. ""Or one of the *Collectors.*"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,55,4972,4972.wav,sevrL_bats,"""Yes, Collectors... packs of scavengers that bring the bodies of the dead to us. They may have thought you dead..."" Soego hisses, and his eyes gleam. ""...and they are so copper-blind they wouldn't have cared to check before delivering you here."" Soego studies you. ""It is fortunate you awoke... or you may have reached the True Death before your time."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,56,4974,4974.wav,sevrL_bats,"Soego nods, and the corner of his mouth twitches. ""Why... of course, of course. Let me open the front gate for you."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,57,4977,4977.wav,sevrL_bats,"""You?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,58,4980,4980.wav,sevrL_bats,"As you approach, Soego sniffs the air, and he looks up. When he sees you, he frowns. ""I unlocked the gate for you. Why are you still here?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,59,4983,4983.wav,sevrL_bats,"As you approach, Soego sniffs the air, and he looks up. When he sees you, he bows slightly. ""Did you find what you were looking for?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,60,4987,4987.wav,sevrL_bats,"Soego nods, and the corner of his mouth twitches. ""Why... of course. These halls *can* be confusing to visitors. Let me open the front gate for you."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,61,4990,4990.wav,sevrL_bats,"""This is most odd."" Soego's eyes gleam red, and the corners of his mouth twitch slightly, as if in anticipation. ""Mayhap..."" He sneers, displaying a row of sharp, dirty teeth. ""Mayhap I should call the guards? Yes... yes, I think I will do that."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,62,4996,4996.wav,sevrL_bats,"Soego nods... and his mouth twitches again. He doesn't even seem to be aware of it. ""Return when you have paid your respects, and I will unlock the front gate for you. It is after nine bells, so you'll have to leave as soon as you conclude your business."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,63,21653,21653.wav,sevrL_bats,"""Ah, another member of the living. Most are slain by the ghouls, this far into the catacombs; you are fortunate."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,64,21661,21661.wav,sevrL_bats,"""I am Soego, factotum of the Dustmen. I am a missionary in these parts."" He gives a half-bow."
Mortuary - 1st Floor,DSOEGO,Soego,spoken,65,21666,21666.wav,sevrL_bats,"""Yes, I came to these catacombs after hearing rumors of undead that were *aware* in these parts. I hope to save them."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,66,21670,21670.wav,sevrL_bats,"""I am the only one. I came to these catacombs after hearing rumors of undead that were *aware* in these parts. I hope to save them."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,67,21674,21674.wav,sevrL_bats,"""Yes, passion ties them to this false life. I hope I can teach them to forsake these passions and leave this false life behind and reach the True Death."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,68,21771,21771.wav,sevrL_bats,"""These... dead ones... are so close to the True Death... yet they cling to this life. This false life is the lie of existence on this plane."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,69,21777,21777.wav,sevrL_bats,"""A complete absence of passion, the True Death is the true life beyond this shadow of existence. It is to this place that these dead must reach to free themselves."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,70,21786,21786.wav,sevrL_bats,"""I wish them to transcend this plane of existence, divorce themselves from passion. It can save them."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,71,21799,21799.wav,sevrL_bats,"""A moment of your time before you go. Do not attack any of the undead here in the catacombs; they will not harm you so long as you remain peaceful. Should you prove hostile they will defend themselves, and there are... many of them. Lastly, you may return here if you need to rest."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,72,21806,21806.wav,sevrL_bats,"""Your memory serves you well. I am no longer stationed in the Mortuary... instead, I have become a missionary in these parts."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,73,21814,21814.wav,sevrL_bats,"""The wound you struck was not a mortal one. I recovered quickly... and found that I would like to distance myself from the Mortuary."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,74,21821,21821.wav,sevrL_bats,"""No... should I be? I am somewhat disappointed that it was not my time to leave this place. Nonetheless, you should not return to the Mortuary, for many of my fellow factotums would not be pleased to see you."""
Mortuary - 1st Floor,DSOEGO,Soego,narration,75,21716,21716.wav,sevrL_bats,Null node.
Mortuary - 1st Floor,DSOEGO,Soego,narration,76,21832,21832.wav,sevrL_bats,Null node.
Mortuary - 1st Floor,DSOEGO,Soego,spoken,77,21837,21837.wav,sevrL_bats,"""You are in the catacombs of the Dead Nations. The guards brought you here."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,78,21844,21844.wav,sevrL_bats,"""I do not know. Ask some of the 'citizens,' here."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,79,21851,21851.wav,sevrL_bats,"""Ah, someone to aid our cause! I, as an agent of Many-as-One, was told of your coming. We need you to try and find a way into the throne room of the Silent King and kill him. Do this, and Many-as-One will reward you."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,80,21858,21858.wav,sevrL_bats,"""I do not know... I have been here for some time, and I still cannot find a way inside his throne room. Perhaps you will have better luck, unburdened by the hatred and bigotry that is directed toward me."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,81,21864,21864.wav,sevrL_bats,"""My faction views are popular with some, but not all. The most important figureheads of this civilization do not hold them dear."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,82,21913,21913.wav,sevrL_bats,"""Ah, well met again."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,83,21943,21943.wav,sevrL_bats,"""I will answer what I can."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,84,21954,21954.wav,sevrL_bats,"""Of course. You shall be safe in this chamber while you rest."""
Mortuary - 1st Floor,DSOEGO,Soego,narration,85,21958,21958.wav,sevrL_bats,Null Node.
Mortuary - 1st Floor,DSOEGO,Soego,narration,86,21963,21963.wav,sevrL_bats,Null Node.
Mortuary - 1st Floor,DSOEGO,Soego,narration,87,21969,21969.wav,sevrL_bats,Null Node.
Mortuary - 1st Floor,DSOEGO,Soego,spoken,88,21975,21975.wav,sevrL_bats,"""A stubborn one, but admirable in his piety and devotion to duty. He is my strongest rival here, and he has kept this civilization together for many years. His passions stem from his piety and devotion to duty... admirable qualities, but misplaced."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,89,21978,21978.wav,sevrL_bats,"""Acaste is a brute. Only the Silent King keeps her in check, I fear. Should his presence be removed, the ghouls would run rampant through the catacombs."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,90,21982,21982.wav,sevrL_bats,"""Stale Mary is a good-hearted soul, if slow. I cannot understand much of what she says, but she and the zombies are not prone to violence."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,91,21985,21985.wav,sevrL_bats,"""I have never seen the Silent King. I wish I could tell you something about him, but I have never seen him. Presumably, his throne room lies beyond the crimson doors, but I cannot gain entrance... Hargrimm, the skeleton priest, will not let me."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,92,21989,21989.wav,sevrL_bats,"""They have been here many centuries, I think, taking care of those that have passed away in their halls. Such devotion to duty is no longer necessary... it is almost a crime."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,93,21992,21992.wav,sevrL_bats,"""They have been here many centuries, I think, taking care of those that have passed away in their halls. Such devotion to duty is no longer necessary... it is almost a crime."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,94,21993,21993.wav,sevrL_bats,"""What? Is this true? Ah, Many-as-One would surely reward you for such information..."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,95,21997,21997.wav,sevrL_bats,"""You... bastard!"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,96,22003,22003.wav,sevrL_bats,"""Eh... that door leads to my private chambers. Please do not enter the chambers."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,97,22005,22005.wav,sevrL_bats,"""Oh! I will go speak with him, now!"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,98,22007,22007.wav,sevrL_bats,"""No, I am on my way."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,99,22009,22009.wav,sevrL_bats,"""Sadly, no. It may come around, however."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,100,22011,22011.wav,sevrL_bats,"Soego pauses for a moment. ""I see."" He suddenly begins a startling transformation..."
Mortuary - 1st Floor,DSOEGO,Soego,spoken,101,22014,22014.wav,sevrL_bats,"""Er... your memory does you a disservice. My neck was hurt, surely... sprained. But broken? Hardly."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,102,22023,22023.wav,sevrL_bats,"He darts out of your grasp with preternatural speed. Sneering and spitting, he hisses ""A foolish thing, to attack an agent of the cranium rat hive mind!"" He suddenly begins a startling transformation..."
Mortuary - 1st Floor,DSOEGO,Soego,spoken,103,22026,22026.wav,sevrL_bats," ""A ridiculous question! You woke on a preparation slab, in the Mortuary... you told me so, yourself. Certainly my wound could not have been worse than those which led Collectors to mistake you for a corpse, no?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,104,22032,22032.wav,sevrL_bats,"He shrugs. ""Very well."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,105,22039,22039.wav,sevrL_bats,"He smiles. ""Everyone's unique. Everyone. Surely you won't deny that?"""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,106,22043,22043.wav,sevrL_bats,"""What am-? What sort of question is that?"""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,107,22047,22047.wav,sevrL_bats,"Soego scowls at you. ""I don't know *what* you speak of."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,108,22050,22050.wav,sevrL_bats,"""Ah, another member of the living. Most are slain by the ghouls, this far into the catacombs; you are fortunate."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,109,22053,22053.wav,sevrL_bats,"""Yes, I am he. I am doing missionary work for the Dustmen, here."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,110,22057,22057.wav,sevrL_bats,"""Yes, I am he."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,111,25249,25249.wav,sevrL_bats,"""Yes, the hive mind of the cranium rats. Go to the catacombs east of Weeping Stone. You shall find the way, there."""
Mortuary - 1st Floor,DSOEGO,Soego,mixed,112,64620,64620.wav,sevrL_bats,"He waves your words away. ""Nothing; it was nothing to me. I had already been blessed with lycanthropy; the wounds healed in little time at all."""
Mortuary - 1st Floor,DSOEGO,Soego,spoken,113,66709,66709.wav,sevrL_bats,"""Greetings..."" The man turns to face you and makes a slight bow. You suddenly notice that his eyes aren't bloodshot so much as they have a red tinge to them. ""I am Soego. How may I help you?"""
Mortuary - 1st Floor,DSOEGO,Soego,narration,114,66710,66710.wav,sevrL_bats,"Halfway through your comment, Soego's lips suddenly peel back, revealing a row of dirty, sharp teeth, and he leans in, sniffing you. "
Mortuary - 1st Floor,DSOEGO,Soego,spoken,115,66711,66711.wav,sevrL_bats,"""Your clothes... those robes. They smell of another. They are not yours."" Soego's lips seal into a strange smile, and his eyes gleam with an almost feral light. ""Who *are* you?"""
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,0,292,292.wav,sevrL_bats,"Before you is a giant skeleton in ornate bronze armor. The armor has been bolted onto the skeleton's frame, and a series of elaborate symbols have been carved across the breastplate. You wonder where the skeleton came from; you weren't aware they made humans in this size. The huge blade in its hands looks like it weighs as much as a wagon cart."
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,1,1166,1166.wav,sevrL_bats,"The skeleton looks too long dead to answer any of your questions. Either that, or its head is too high up for it to hear you."
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,2,4005,4005.wav,sevrL_bats,"As you touch the skeleton, an iron bell starts tolling throughout the Mortuary... and with lightning-like speed, the skeleton awakens, raising its blade to attack!"
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,3,4006,4006.wav,sevrL_bats,"As you are about to do so, you suddenly stop... and your eyes are drawn to the skeleton's armor. Something about the symbols engraved on its breastplate makes you pause. If these skeletons are guardians, then disturbing them may... awaken them. "
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,4,4007,4007.wav,sevrL_bats,"The skeleton's intricate bronze armor is riveted onto its rib cage and shoulder blades with a series of iron bolts. As you study the frame behind the armor, you notice the same iron bolts are set into the skeleton's shoulder, elbow, pelvic, and knee joints. A mass of thick leather cords and heavy knotted ropes run along the length of the skeleton's arms and legs, woven in such a pattern that they resemble muscles and tendons."
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,5,4008,4008.wav,sevrL_bats,"Despite the armor's obvious age, it looks well cared for. It shines brightly, and the symbols engraved on the breastplate seem to flow in the firelight, shifting slightly whenever you try to focus on them. "
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,6,4009,4009.wav,sevrL_bats,"Almost unconsciously, you let your gaze relax as you look at the symbols. After a moment, the symbols cease shifting and resolve into a trail of runes that run up and down the breastplate. Strangely enough, the interlocking pattern of runes reminds you of chains... and with that thought, you suddenly recall that these runes are some sort of warding enchantment. "
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,7,4010,4010.wav,sevrL_bats,"You study the runes for a while, but you can't decipher the enchantment. It looks pretty complicated, and you're having a hard time concentrating."
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,8,4011,4011.wav,sevrL_bats,"You study the pattern of runes as they weave their way across the breastplate. On its most basic level, the runes are a lesser armoring enchantment, but several skull-shaped runes and spherical tracings along the edges of the armor make you suspect several greater necromantic and warding enchantments are woven in as well. Touching the skeleton will most likely cause it to awaken... and defend itself."
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,9,4012,4012.wav,sevrL_bats,"You suspect that marring the rune pattern along the breastplate could unravel the enchantments, but it looks difficult... the pattern is complicated, and scratching out the wrong portion could cause the skeleton to animate."
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,10,4013,4013.wav,sevrL_bats,"As you begin to work on the runes decorating the breastplate, an iron bell starts tolling throughout the Mortuary... and with lightning-like speed, the skeleton awakens, raising its blade to attack!"
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,11,4014,4014.wav,sevrL_bats,"The work is difficult and nerve-wracking at first, but slowly, your mind begins to focus, and the runes begin to unravel beneath your attack. Within minutes, the giant skeleton has been stripped of the enchantments binding it. It collapses, falling to the floor with a crash of bones and a heavy clanging noise!"
Mortuary - 1st Floor,DGIANTSK,Giant Skeleton,narration,12,4015,4015.wav,sevrL_bats,"You wait for a moment, but no one responds to the sound. Moving quickly, you sift through the skeleton's parts on the floor. Most of it is too heavy or too old to be useful, but you discover a piece of the skeleton's breastplate with a majority of one of the broken enchantments engraved on it. You have a feeling that it could prove useful. "
